id;Nom;Descripcio;Potencia;Precisio;Cost;Magic?;Buff;Debuff;ProbEfecteBuff;ProbEfecteDebuff;MultipleObjectiu?;Cura?;Protegeix?;DanyperProteccio
fire_ball;Bola de Foc;Una bola de flames d'alta temperatura;40;100;5;TRUE;Inteligencia;Cremada;100;90;FALSE;FALSE;FALSE;0
pierce_arrow;Fletxa Perforant;Descripció;50;100;5;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Assalt Llampeg;Descripció;30;100;5;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Tall potent;Descripció;50;100;5;FALSE;;;;;FALSE;FALSE;FALSE;0
aixafar;Aixafar;Descripció;20;90;0;FALSE;;;;;FALSE;FALSE;FALSE;0
debuff;Debuff;Descripció;10;100;10;FALSE;;;;;FALSE;FALSE;FALSE;0
tall;Tall;Descripció;25;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
cop_basto;Cop de Basto;Descripció;5;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
arrow;Dispar de Fletxa;Descripció;15;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
flame_arrow;Fletxa de flames;Descripció;45;100;10;FALSE;;;;;FALSE;FALSE;FALSE;0
buff;Increment;Descripció;0;100;10;TRUE;;;;;FALSE;FALSE;FALSE;0
wind_blade;Fulla de Vent;Descripció;45;100;10;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Tall Llampeg;Descripció;70;100;10;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Crit de Guerra;Descripció;5;100;10;FALSE;;;;;TRUE;FALSE;FALSE;0
id1;Bloqueig;Descripció;0;100;5;FALSE;;;;;FALSE;FALSE;TRUE;40
id1;Santuari;Descripció;150;100;90;TRUE;;;;;TRUE;TRUE;FALSE;0
id1;Cura;Descripció;25;100;10;TRUE;;;;;FALSE;TRUE;FALSE;0
bite;Mossegada;Descripció;35;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
tail_tackle;Cop de Cua;Descripció;15;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Urpada;Descripció;20;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Picada;Descripció;15;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Cop;Descripció;20;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Embestir;Descripció;25;100;0;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Javelina de Glaç;Descripció;80;100;30;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Fletxa de Potencia;Descripció;160;100;70;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Revestiment de Flames;Descripció;60;100;25;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Foc Infernal;Descripció;180;90;130;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Cocytus;Descripció;180;90;130;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Gravetat;Descripció;80;100;50;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Gravidon;Descripció;150;70;100;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Hydromancia;Descripció;50;100;20;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Esfera d'aigua;Descripció;40;100;5;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Tempesta;Descripció;100;100;70;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Raig;Descripció;90;100;50;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Pluja d'estalactites;Descripció;90;100;70;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Camp Electric;Descripció;90;100;70;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Cura en Area;Descripció;60;100;70;TRUE;;;;;TRUE;TRUE;FALSE;0
id1;Cura Potent;Descripció;100;100;60;TRUE;;;;;FALSE;TRUE;FALSE;0
id1;Regeneracio;Descripció;90;100;60;TRUE;;;;;FALSE;TRUE;FALSE;0
id1;Ventisca;Descripció;100;100;70;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Enllaç Electric;Descripció;70;100;50;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Gravetat Reduida;Descripció;40;100;20;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Corrosio;Descripció;70;100;40;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Mossegada Verinosa;Descripció;50;100;15;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Rafaga de Punyalades;Descripció;75;100;25;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Agulles de Terra;Descripció;100;100;90;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Fletxa Gelida;Descripció;100;100;50;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Fletxa Electrica;Descripció;100;100;50;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Dispar Rapid;Descripció;30;100;15;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Agilitat;Descripció;30;100;5;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Martell Sacre;Descripció;120;90;60;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Estandard Sacre;Descripció;20;100;25;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Reforçament Sacre;Descripció;0;100;25;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Torbelli;Descripció;40;100;15;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Tela d'aranya;Descripció;5;75;5;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Tela Corrosiva;Descripció;60;90;25;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Control Sanguini;Descripció;75;100;60;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Llança de Sang;Descripció;90;90;50;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Esfera Vital;Descripció;100;90;50;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Mirall dels Somnis;Descripció;150;100;200;TRUE;;;;;FALSE;FALSE;FALSE;0
id1;Dimensio Alterada;Descripció;200;100;300;TRUE;;;;;TRUE;FALSE;FALSE;0
id1;Gran Resistencia;Descripció;0;100;20;FALSE;;;;;FALSE;FALSE;FALSE;0
id1;Contratac;Descripció;0;100;20;FALSE;;;;;FALSE;FALSE;TRUE;100
